Health IT,Ag & Food,Cleantech,Consumer,Real Estate/Construction,Industrial Tech,Fintech,Enterprise,Other Verticals,Irrelevant,Nothing
health & life sciences,Agriculture,Ethical Fashion,B2C Marketplace,Infrastructure,Digital Freight Brokerage,Fin Tech,Product Management,Data,CARMA AXLR8R 01,Active
Biology,Cellular Agriculture,Clean Energy,Consumer,Housing,Robotic Process Automation,FinTech,SaaS,marketplaces,CHINACCELERATOR 02,Android
Health,Food and Beverages,Clean Technology,B2C,Real Estate,Industrial Automation,Fintech,B2B Marketplace,Insurtech,CHINACCELERATOR 04,Apps
Gene Therapy,Food Processing,Energy Efficiency,Consumer/Gaming,Lighting,Logistics / Transportation / Shipping,financial tech,B2B Commerce,Logistics,CHINACCELERATOR 06,Bay Area
AI-powered Drug Discovery,Food Tech,Green Building,consumer,Commercial Real Estate,Chemicals,Financial Services,Enterprise,Community,CHINACCELERATOR 07,Beverly Hills
telemedicine,Food+Tech,Green Consumer Goods,gaming,Construction,Maintenance,Banking as a Service,DevTools,Quantum Computing,CHINACCELERATOR 08,Bridging Online and Offline
Medical Robotics,Nutrition,Ocean Economy,Sustainable Fashion,Home & Garden,Manufacturing,Income Share Agreements,B2B,Marketplace,CHINACCELERATOR 09,Ca
Consumer Health Services,FOOD DISTRIBUTION TECHNOLOGY,Renewable Energies,Entertainment,Home Automation,Mining Technologies,Finance,enterprise,Deep Learning,CHINACCELERATOR 10,CHINACCELERATOR 17
COVID-19,FOOD TECHNOLOGY,CLEANTECH,Ecommerce,Home Decor,Group Buying,Financial Exchanges,Recruiting,Minerals,CHINACCELERATOR 11,Civic Tech
Mental Health Tech,FUTURE FOOD & AGRICULTURE,Energy Storage,Cloud Gaming,Home Improvement,Heavy Industry,Payments,Documents,Telecoms,CHINACCELERATOR 12,Civictech
Primary Care,AGRITECH,Small Modular Reactors,Lifestyle,Residential,Marine Equipment,Accounting,Enterprise Software,Artifical Intelligence,CHINACCELERATOR 13,Cloud / Content
medical device,Vertical Farming,Energy,Cosmetics,Residential Real Estate,Procurement,Banking,Project Management,Machine Learning,CHINACCELERATOR 14,Collaboration
Robotic Surgery,Agtech,Envirotech,E-Commerce,Landscaping,Shipping,Mobile Payments,Productivity Software,Data Engineering,CHINACCELERATOR 15,Content
Fertility Tech,Food,Fusion Energy,E-Commerce Platforms,Property Management,Shipping Broker Industry,Crowdsourcing,Logistics Software,Computer Vision,CHINACCELERATOR 16,Craigslist Killers
Cryogenics,Grocery,Sustainability,Digital Media,Rental Housing,Specialty Chemicals,Finance Technology,Business Intelligence,DevSecOps,FOOD-X 01,Creative
Pediatrics,Cultivated Meat,Solar Power,Mobile,Vacation Rentals,Trucking,Financial Technology,Cloud Data Services,Robotics,FOOD-X 02,Crowdfunding
Healthcare,Restaurants,Sustainable Tourism,Communities,Proptech,Storage,Accounting,Distributed Systems,Sports Tech,FOOD-X 03,Curated Web
Medical,3D Printed Foods,,Beauty,Property management,DESIGN MATERIALS,Banking,Cyber Security,Carbon Capture and Removal,FOOD-X 04,Diagnostics
Medical Devices,,,Social Media,Realty / Rentals,HUMAN-MACHINE INTERFACE,Credit,Software,Design Tools,FOOD-X 05,Direct sale
Health Care Information Technology,,,Video,Moving,ROBOTICS,Credit Cards,Email Marketing,Hard Tech,FOOD-X 06,Direct service
Personal Health,,,Messaging,Hardware,MANUFACTURING,Debt Collecting,Supply Chain Management,Hardware,FOOD-X 07,Disruptive Models
Health and Wellness,,,Consumer Electronics,Accomodation,Industrial Workplace Safety,Invest Online,Lead Generation,Ghost Kitchens,FOOD-X 08,Docker
Therapeutics,,,Families,Hotels,Autonomous Trucking,Investment Management,Sales and Marketing,Cryptocurrency,FOOD-X 09,Early-Stage Technology
Wearables,,,Collaborative Consumption,,Warehouse Management Tech,Wealth Management,Sales Automation,Generative AI,FOOD-X 10,Education
Digital Health,,,Content Discovery,,Test and Measurement,Fraud Detection,Sales,Language and Translation services,FOOD-X 11,EDUCATION & EDTECH
Medical Device,,,Consumer Goods,,Testing,Mobile Payments,Collaboration Software,Bitcoin,HAX \u4e2d\u56fd 01,Election Tech
Clinical Trials,,,Consumer Internet,,Alternative Battery Tech,PaaS,Small and Medium Businesses,Augmented Reality,HAX ACCELERATOR 01,Email 
Mobile Health,,,Facebook Applications,,Advanced Materials,Personal Finance,Employment,eLearning,HAX ACCELERATOR 02,Email Newsletters
Health and Insurance,,,Fitness,,,Trading,Advertising & Creative Agencies,Nanotechnology,HAX ACCELERATOR 03,Engineering Firms
Biotechnology,,,Flowers,,,FINTECH,Employer Benefits Programs,Cashierless Checkout,HAX ACCELERATOR 04,Freelancers
Bioinformatics,,,Celebrity,,,Lending / Investments,Early Stage IT,Food Service Robots & Machines,HAX ACCELERATOR 05,Full Stack Startup
Genetic Testing,,,Comparison Shopping,,,Financial research,Information Technology,Assistive Tech,HAX ACCELERATOR 07,Gambling
Synthetic Biology,,,Fashion,,,Accounting / Audit,Advertising,Virtual Reality,HAX ACCELERATOR 08,Gay & Lesbian Market
Medical Software,,,Entertainment Industry,,,Financial infrastructure,Advertising Platforms,Blockchain / Cryptocurrency,HAX ACCELERATOR 09,Government Innovation
Drug Discovery,,,eSports,,,Digital Currency,Business Analytics,Analytics,HAX ACCELERATOR 10,Governments
Electronic Health Records,,,Auctions,,,Bitcoin Exchange,Business Productivity,Big Data,HAX ACCELERATOR 11,GOVTECH
Digital Pathology,,,Career Management,,,Consumer Lending,Brand Marketing,Artificial Intelligence,HAX GROWTH 01,Govtech
Computational Medicine,,,Social Games,,,Trade Platform,Direct Marketing,Cloud Computing,HAX GROWTH 02,GovTech
Elder Care,,,Social Media Platforms,,,Transaction Processing,Corporate IT,Application Platforms,HAX GROWTH 03,Grants / Donations
Elderly,,,Social Network,,,FinOps,Corporate Wellness,Cloud Infrastructure,HAX GROWTH 04,HAX CHINA 2019
Genomics,,,Social Network Media,,,,Employee Management,Email,HAX GROWTH 05,HAX SEED 2018
COMPUTATIONAL BIOLOGY,,,Social News,,,,Enterprise Security,Natural Language Processing,HAX GROWTH 06,Humanitarian
CONSUMER BIOLOGY,,,Social Travel,,,,Consumer Behavior,Data Mining,HAX GROWTH 07,Identity
DIGITAL HEALTH,,,Online Marketplaces,,,,Contact Management,Mobile Search,HAX GROWTH 08,Internet
MEDICAL & DIAGNOSTICS,,,Online Rental,,,,Content Monetization,Hardware + Software,INDIEBIO 01,iOS
MEDICAL DEVICES,,,Online Shopping,,,,Communications Hardware,Data Integration,INDIEBIO 02,iPad
Healthcare Services,,,Online Travel,,,,Communications Software,Blockchains,INDIEBIO 03,iPhone
Pharmaceuticals,,,Online Video Advertising,,,,B2B Express Delivery,Computers,INDIEBIO 04,ISP
NEUROTECH,,,Gift Card,,,,Hr Tech,Semantic Search,INDIEBIO 05,Journalism / Blogs
REGENERATIVE MEDICINE,,,Loyalty Programs,,,,Human Resources,Event Management,INDIEBIO 06,Local
THERAPEUTICS,,,Hospitality,,,,Employee Management,Events,INDIEBIO 07,Local Advertising
WEARABLES,,,Sports,,,,Future Of Work,Art,INDIEBIO 08,Local Businesses
WELLNESS,,,Mobile Commerce,,,,Enterprise Security,Artificial Intelligence / Machine Learning,INDIEBIO 09,Local Commerce
Health Insurance,,,Mobile Games,,,,CRM,Artists Globally,INTERACTX 01 (LEAP),Local Services
Contract Research Organizations,,,Electronics,,,,Inventory Management Systems,Big Data Analytics,MOX 01,Location Based Services
Life Sciences,,,Deals,,,,IT Management,Insurance,MOX 02,Logistics Company
Researchers,,,Electronics,,,,Knowledge Management,Insurance Companies,MOX 03,Media production
Science,,,Leisure,,,,Marketing Automation,Information Services,MOX 04,Nonprofit
DIGITAL HEALTH,,,Media,,,,ENTERPRISE SOFTWARE,Innovation Management,MOX 05,Nonprofits
INDUSTRIAL BIOLOGY,,,Networking,,,,Mobile Advertising,AI & MACHINE LEARNING,MOX 06,O2O
Sleep Tech,,,Parenting,,,,Mobile Analytics,AR / VR,MOX 07,On-demand / Delivery
CRISPR,,,Pets,,,,Mobile Infrastructure,BLOCKCHAIN,MOX 08,Open Data
Neurotechnology,,,Photo Sharing,,,,Network Security,Legal,MOX 01,Open Government
Medical advice,,,Photography,,,,Personal Relationship Manager,Legal Tech,MOX 02,Operations
Healthcare ERP,,,Platforms,,,,Predictive Analytics,Language Learning,MOX 03,Optimization
Health monitoring,,,Price Comparison,,,,Product Design,Technology,MOX 04,Peer-to-Peer
Patient services,,,Professional Networking,,,,Sales Enablement,Telecommunications,MOX 05,Postal and Courier Services
OTC Medications,,,Quantified Self,,,,Risk Management,Telephony,MOX 06,Pre Seed
Biotech,,,Retail,,,,Smb Software,DATA SCIENCE & BIG DATA,MOX 07,Printing
Dietary Supplements,,,Retail Technology,,,,ADTECH,Delivery,MOX 08,Productivity
Medical Research,,,Reviews and Recommendations,,,,Virtual Workforces,Reinforcement Learning,REBELBIO 01,Psychology
Diabetes,,,Search,,,,Task Management,AI-Enhanced Learning,REBELBIO 02,Publishing
Telemedicine,,,Service Industries,,,,SAAS,Blockchain,REBELBIO 03,Real Time
VR Health,,,Services,,,,Professional services,Legal services,REBELBIO 04,Reputation
Bio-Pharm,,,Shared Services,,,,Personnel / Benefits,K-12,REBELBIO 05,Same Day Delivery
Biometrics,,,Smart Home,,,,ERP,Professional training,REBELBIO 06,San Jose
Bioplastic,,,SNS,,,,Adtech / Martech,College / Continuing education,REBELBIO 07,Santa Monica
Alternative Medicine,,,Video Streaming,,,,Market intel,Education ERP,REBELBIO 08,SELR8R 02
Anti-Aging,,,Video Chat,,,,CRM / Customer success,Furniture,URBAN-X 01,Sensors
Nanosensors,,,SMART HOME,,,,Coworking,Developer Tools,URBAN-X 02,Simulation
Neuroscience,,,CONSUMER DEVICES,,,,Tech Field Support,Software Engineering,YC-S13,SMS
Nanomedicine,,,CONSUMER PACKAGED GOODS,,,,Marketing,Developer APIs,YC-W13,Social Commerce
mHealth,,,E-COMMERCE,,,,Enterprise Application,Development Platforms,YC-S12,Social Enterprise
Microfluidics,,,ENTERTAINMENT,,,,Business Development,Design,YC-W11,Social Fundraising
Lab-on-a-chip,,,GAMING,,,,Office Space,Web CMS,YC-S15,Startups
,,,MEDIA,,,,Administrative,Web Design,YC-W15,Subscription Businesses
,,,SOCIAL COMMERCE,,,,Operations,Web Development,YC-S11,Subscriptions
,,,Early childhood,,,,Computational Storage,Web Hosting,YC-S14,Tablets
,,,Social media,,,,Social Media Marketing,Web Tools,YC-W14,Token
,,,Security,,,,"Security Orchestration, Automation and Response (SOAR)",Programming,YC-W12,Twitter Applications
,,,Gaming / eSports,,,,Quantitative Marketing,Mobile Software Tools,YC-S07,Universities
,,,Travel / Hospitality,,,,Professional Services,Open Source,YC-S10,Usa
,,,Consumer eCom,,,,Spam Filtering,Python,YC-W07,Utilities
,,,Children / Toys,,,,Sponsorship,IT tools,YC-S05,Venture Capital
,,,Consumer services,,,Hedge Funds,Web Platform,Developer tools,YC-S06,Ventures for Good
,,,Marketplaces,,,Conversational Banking,Databases,Internet of Things,YC-W08,Visualization
,,,Video on Demand,,,Decentralized Finance,Customer Experience,IOT & INFRASTRUCTURE,YC-W09,Web Browsers
,,,E-Books,,,,Ad Targeting,IoT,YC-S09,Wireless
,,,Digital Entertainment,,,,Adtech,Batteryless IoT Sensors,YC-W10,Women-Focused
,,,Sporting Goods,,,,Data Visualization,Autonomous Vehicles,YC-S08,YC-S19
,,,Content Creators,,,,Cloud Workload Protection,Aerospace,YC-W06,YC-S20
,,,Music,,,,AI-Enhanced Learning,Travel,Unified Communication,YC-W19
,,,Smart Clothing,,,,Kubernetes,Airplanes,Skill Assessment,YC-W20
,,,Shopping,,,,Interface Design,Transportation,Lean,YC-W16
,,,Private Social Networking,,,,Intellectual Asset Management,Parking,Autonomous Delivery,YC-S16
,,,Podcasts,,,,Higher Education,Boating Industry,Autonomous Vehicle Simulation,YC-S18
,,,Sporting Goods,,,,Internet Marketing,Automotive,Reinforcement Learning,YC-W18
,,,Television,,,,AIOps,Drones,"Bay Area, Ca",YC-S17
,,,Video Games,,,,Digital Marketing,Electric Vehicles,Audio,YC-W17
,,,Women's Apparel And Accessories,,,,,Hybrid Vehicles,Social Good,Consulting
,,,Consumers,,,,,Geospatial,Social Bookmarking,Creative Industries
,,,Coupons,,,,,MOBILITY,Q&A,R&D
,,,Internet TV,,,,,Aerospace / Drones,Product Search,
,,,Child Care,,,,,Vehicle dealer,Personalization,
,,,Cleaning,,,,,Autotech,Surveys,
,,,Cloud-Based Music,,,,,Ridesharing / Vehicle rental,Online Identity,
,,,Online Gaming,,,,,Coffee,Personal Data,
,,,Luxury,,,,,Catering,Mass Customization,
,,,Groceries,,,,,Tutoring,Market Research,
,,,Fantasy Sports,,,Marketplace Lender,,Smart Home Assistants,Indoor Mapping,
,,,Film,,,Microinsurance,,Edtech,,
,,,Gamification,,,Mortgage,Next-gen Network Security,Air Taxis,,
,,,,,,P2P Money Transfer,Performance Marketing,M2M,,
,,,,,,,Operations,Wireless Sensor Networks,,
,,,,,,,,Space Exploration,,
,,,,,,,,Satellites,,
,,,,,,,,Rocketry,,
,,,,,,,,Space Travel,,
,,,,,,,,Smart City,,
,,,,,,,,Public Transportation,,
,,,,,,,,Unmanned Vehicle,,
,,,,,,,,Communication Technology,,
,,,,,,,,Communications Infrastructure,,
,,,,,,,,Journalism,,
,,,,,,,,IoT Security,,
,,,,,,,,Internet Technology,,
,,,,,,,,K-12 Education,,
,,,,,,,,Graphic Design,,
,,,,,,,,3D Printing,,
,,,,,,,,3D Technology,,
,,,,,,,,Identity Management,,
,,,,,,,,Digital Publishing,,